"id","docid","title","pubdate","type","author","majlang","collection_id","url"
407,"loc.ark:/13960/t41r7bt1t","London days;","1920-01-01","Book","Warren, Arthur","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t41r7bt1t"
408,"uc2.ark:/13960/t1zc7vr0d","A Memphian's trip to Europe with Cook's educational party:","1874-01-01","Book","Watson, Samuel","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1zc7vr0d"
409,"loc.ark:/13960/t8hd8k00v","A Memphian's trip to Europe with Cook's educational party:","1874-01-01","Book","Watson, Samuel","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8hd8k00v"
410,"loc.ark:/13960/t20c5s94h","The heart of a soldier /","1918-01-01","Book","Watt, Lauchlan MacLean","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t20c5s94h"
411,"loc.ark:/13960/t3xs69k0j","The hills of home,","1914-01-01","Book","Watt, Lauchlan MacLean","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3xs69k0j"
412,"uc2.ark:/13960/t91836s7n","The judge,","1922-01-01","Book","West, Rebecca","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t91836s7n"
413,"loc.ark:/13960/t9z03nd9p","O'er the Atlantic;","1870-01-01","Book","Whyte, William E.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9z03nd9p"
414,"uc2.ark:/13960/t5t728p7f","Penelope's progress :","1898-01-01","Book","Wiggin, Kate Douglas Smith","eng",2,"http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5t728p7f"
415,"loc.ark:/13960/t74t7690d","Autobiography and miscellanea...","1912-01-01","Book","Wight, John Green","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t74t7690d"
416,"loc.ark:/13960/t1bk23b7w","Sketches beyond the sea /","1879-01-01","Book","Wilkie, Franc B.","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1bk23b7w"
417,"yale.39002014976030","Travels in Italy, Greece, and the Ionian islands.","1820-01-01","Book","Williams, Hugh William","eng",2,"http://babel.hathitrust.org/cgi/pt?id=yale.39002014976030"
418,"loc.ark:/13960/t6640dz3n","Europe from May to December,","1895-01-01","Book","Williams, Rudolph","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6640dz3n"
419,"loc.ark:/13960/t9z03n92z","Old world scenes /","1867-01-01","Book","Williams, Charles","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9z03n92z"
420,"loc.ark:/13960/t1pg2bx22","John and Betty's Scotch history visit,","1912-01-01","Book","Williamson, Margaret","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1pg2bx22"
421,"loc.ark:/13960/t9377vz62","Famous persons and places.","1854-01-01","Book","Willis, Nathaniel Parker","eng",2,"http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9377vz62"
