id,text,lat,lon,sector,method
2023,South Inch,55.884483,-3.619255,Outer Scotland,outside
2094,Arthur's Seat,55.9441043,-3.1618477,Craigentinny/Duddingston,exact
2109,Kirkliston,55.9557628,-3.4019771,Almond,exact
2110,St Giles's,55.9493396,-3.1905294,Old Town,exact
2112,Restalrig,55.9613749,-3.1476473,Craigentinny/Duddingston,exact
2114,Pinkie House,55.943492,-3.044447,Portobello/Craigmillar,nearest(0.029705)
2117,Hailes Castle,55.973222,-2.683287,Outer Scotland,outside
2118,East Linton,55.986292,-2.655837,Outer Scotland,outside
2130,Bass Rock,56.076542,-2.640983,Outer Scotland,outside
2133,Edinburgh Castle,55.948645,-3.200732,Old Town,exact
2144,University of Edinburgh,55.94739,-3.181893,South Central,exact
2167,Scottish Parliament,55.951976,-3.175371,Canongate,exact
2170,Edinburg,55.949428,-3.192704,Old Town,exact
2176,Physic Garden,55.951584,-3.187722,Old Town,exact
2178,County Buildings,55.976428,-3.600771,Outer Scotland,outside
2212,Roslin,55.863625,-3.167939,Liberton/Gilmerton,nearest(0.026435)
2222,Charlotte Square,55.9522329,-3.2070063,New Town,exact
2240,Leith Docks,55.978479,-3.167761,Leith,exact
2246,Dalmeny,55.9820556,-3.3744684,Almond,exact
2250,Leith Walk,55.9602,-3.1824,Leith,exact
2252,Hill Street,55.9534,-3.2024,New Town,exact
2253,Glasgow Road,55.9422,-3.2968,Western Edinburgh,exact
2271,Albany Street,55.9573,-3.1911,New Town,exact
2305,Leith Walk,55.961534,-3.180819,Leith,exact
2321,York Lane,55.957,-3.1896,New Town,exact
2332,Salisbury Crags,55.946807,-3.170443,Craigentinny/Duddingston,exact
2347,Edinboro,55.949428,-3.192704,Old Town,exact
2348,Newington,55.9393149,-3.1808547,South Central,exact
2352,Traprain Law,55.960291,-2.678782,Outer Scotland,outside
2353,Newington Road,55.9382,-3.1787,South Central,exact
2381,Broad Wynd,55.9756,-3.1697,Leith,exact
2382,Grassmarket,55.947546,-3.196406,Old Town,exact
2389,Waters' Close,55.9754,-3.1702,Leith,exact
2444,Caledonia Hotel,55.823452,-3.716441,Outer Scotland,outside
2450,Chapel Royal,55.953068,-3.171544,Canongate,exact
2458,Canongate Tolbooth,55.951472,-3.179895,Canongate,exact
2462,George Hotel,55.954151,-3.196338,New Town,exact
2772,Union Hotel,55.950142,-3.188159,Old Town,exact
2844,Leith Walk,55.9586,-3.1836,Leith,nearest(0.000656)
2861,Edinburgh Academy,55.960699,-3.20394,Inverleith,exact
2888,Nicolson Street,55.9451,-3.1841,South Central,exact
2896,St Giles',55.9493396,-3.1905294,Old Town,exact
2897,Princes Street Gardens,55.9497435,-3.2019502,New Town,exact
2898,Princes Street,55.9526,-3.193,New Town,exact
2899,South Bridge,55.9487,-3.1868,Old Town,exact
2900,Liberton,55.9130118,-3.1662543,Liberton/Gilmerton,exact
2929,Ivy Cottage,55.932513,-3.655836,Outer Scotland,outside
2937,The Grosvenor,55.949853,-3.2092931,New Town,nearest(0.001319)
2998,Linlithgow Palace,55.978079,-3.600952,Outer Scotland,outside
3002,Holyrood Abbey,55.953122,-3.171594,Canongate,exact
3003,St. Giles' Cathedral,55.9493396,-3.1905294,Old Town,exact
